Width (ps),Setting
1300,135
1400,140
1500,145
1600,150
1700,155
1800,160
1900,165
2000,170
2100,175
2200,180
2300,185
2400,190
2500,195
2600,200
2700,210
2800,220
2900,230
3000,240
3100,250
3200,260
3300,270
3400,280
3500,290
3600,300
3700,308
3800,317
3900,325
4000,333
4100,342
4200,350
4300,358
4400,367
4500,375
4600,383
4700,392
4800,400
4900,408
5000,417
5100,425
5200,433
5300,442
5400,450
5500,458
5600,467
5700,475
5800,483
5900,492
6000,500
6100,511
6200,522
6300,533
6400,544
6500,556
6600,567
6700,578
6800,589
6900,600
7000,609
7100,618
7200,627
7300,636
7400,645
7500,655
7600,664
7700,673
7800,682
7900,691
8000,700
8100,711
8200,722
8300,733
8400,744
8500,756
8600,767
8700,778
8800,789
8900,800
9000,809
9100,818
9200,827
9300,836
9400,845
9500,855
9600,864
9700,873
9800,882
9900,891
10000,900
10100,920
10200,940
10300,960
10400,980
10500,1000
